[2026-06-08 18:09:50] | File: ./kimodo-gen/test260608_p01_r1.bvh | Stage: Kimodo_Inference | Duration: 2.664s
[2026-06-08 18:10:13] | File: test260608_p02_r3.bvh | Stage: Blender_Process_And_Export | Duration: 5.832s
[2026-06-08 18:10:14] | File: test260608_p02_r3.fbx | Stage: Unreal_Import_And_Retarget | Duration: 1.047s
[2026-06-08 18:10:20] | File: ./kimodo-gen/test260608_p03_r1.bvh | Stage: Kimodo_Inference | Duration: 7.007s
[2026-06-08 18:10:20] | File: ./kimodo-gen/test260608_p03_r1.bvh | Stage: Kimodo_BVH_Export | Duration: 0.187s
[2026-06-08 18:10:20] | File: test260608_p03_r1.bvh | Stage: Blender_Process_And_Export | Duration: 6.267s
[2026-06-08 18:10:22] | File: test260608_p03_r1.fbx | Stage: Unreal_Import_And_Retarget | Duration: 1.068s
[2026-06-08 18:10:23] | File: ./kimodo-gen/test260608_p03_r2.bvh | Stage: Kimodo_Inference | Duration: 2.476s
[2026-06-08 18:10:23] | File: ./kimodo-gen/test260608_p03_r2.bvh | Stage: Kimodo_BVH_Export | Duration: 0.087s
[2026-06-08 18:10:23] | File: test260608_p03_r2.bvh | Stage: Blender_Process_And_Export | Duration: 1.735s
[2026-06-08 18:10:25] | File: test260608_p03_r2.fbx | Stage: Unreal_Import_And_Retarget | Duration: 1.057s
[2026-06-08 18:10:26] | File: ./kimodo-gen/test260608_p03_r3.bvh | Stage: Kimodo_Inference | Duration: 2.608s
[2026-06-08 18:10:26] | File: ./kimodo-gen/test260608_p03_r3.bvh | Stage: Kimodo_BVH_Export | Duration: 0.089s
[2026-06-08 18:10:26] | File: test260608_p03_r3.bvh | Stage: Blender_Process_And_Export | Duration: 1.857s
[2026-06-08 18:10:28] | File: test260608_p03_r3.fbx | Stage: Unreal_Import_And_Retarget | Duration: 1.095s
[2026-06-08 18:10:29] | File: ./kimodo-gen/test260608_p04_r1.bvh | Stage: Kimodo_Inference | Duration: 2.575s
[2026-06-08 18:10:29] | File: ./kimodo-gen/test260608_p04_r1.bvh | Stage: Kimodo_BVH_Export | Duration: 0.086s
[2026-06-08 18:10:30] | File: test260608_p04_r1.bvh | Stage: Blender_Process_And_Export | Duration: 1.944s
[2026-06-08 18:10:31] | File: test260608_p04_r1.fbx | Stage: Unreal_Import_And_Retarget | Duration: 1.052s
[2026-06-08 18:10:32] | File: ./kimodo-gen/test260608_p04_r2.bvh | Stage: Kimodo_Inference | Duration: 2.572s
[2026-06-08 18:10:32] | File: ./kimodo-gen/test260608_p04_r2.bvh | Stage: Kimodo_BVH_Export | Duration: 0.091s
[2026-06-08 18:10:33] | File: test260608_p04_r2.bvh | Stage: Blender_Process_And_Export | Duration: 2.065s
[2026-06-08 18:10:34] | File: test260608_p04_r2.fbx | Stage: Unreal_Import_And_Retarget | Duration: 1.156s
[2026-06-08 18:10:36] | File: ./kimodo-gen/test260608_p04_r3.bvh | Stage: Kimodo_Inference | Duration: 2.557s
[2026-06-08 18:10:36] | File: ./kimodo-gen/test260608_p04_r3.bvh | Stage: Kimodo_BVH_Export | Duration: 0.089s
[2026-06-08 18:10:36] | File: test260608_p04_r3.bvh | Stage: Blender_Process_And_Export | Duration: 1.704s
[2026-06-08 18:10:37] | File: test260608_p04_r3.fbx | Stage: Unreal_Import_And_Retarget | Duration: 1.049s
[2026-06-08 18:10:39] | File: ./kimodo-gen/test260608_p05_r1.bvh | Stage: Kimodo_Inference | Duration: 2.600s
[2026-06-08 18:10:39] | File: ./kimodo-gen/test260608_p05_r1.bvh | Stage: Kimodo_BVH_Export | Duration: 0.183s
[2026-06-08 18:10:39] | File: test260608_p05_r1.bvh | Stage: Blender_Process_And_Export | Duration: 1.930s
[2026-06-08 18:10:40] | File: test260608_p05_r1.fbx | Stage: Unreal_Import_And_Retarget | Duration: 1.112s
[2026-06-08 18:10:42] | File: ./kimodo-gen/test260608_p05_r2.bvh | Stage: Kimodo_Inference | Duration: 2.594s
[2026-06-08 18:10:42] | File: ./kimodo-gen/test260608_p05_r2.bvh | Stage: Kimodo_BVH_Export | Duration: 0.086s
[2026-06-08 18:10:42] | File: test260608_p05_r2.bvh | Stage: Blender_Process_And_Export | Duration: 1.995s
[2026-06-08 18:10:44] | File: test260608_p05_r2.fbx | Stage: Unreal_Import_And_Retarget | Duration: 1.113s
[2026-06-08 18:10:45] | File: ./kimodo-gen/test260608_p05_r3.bvh | Stage: Kimodo_Inference | Duration: 2.613s
[2026-06-08 18:10:45] | File: ./kimodo-gen/test260608_p05_r3.bvh | Stage: Kimodo_BVH_Export | Duration: 0.091s
[2026-06-08 18:10:46] | File: test260608_p05_r3.bvh | Stage: Blender_Process_And_Export | Duration: 2.137s
[2026-06-08 18:10:47] | File: test260608_p05_r3.fbx | Stage: Unreal_Import_And_Retarget | Duration: 1.097s
[2026-06-08 18:10:48] | File: ./kimodo-gen/test260608_p06_r1.bvh | Stage: Kimodo_Inference | Duration: 2.588s
[2026-06-08 18:10:48] | File: ./kimodo-gen/test260608_p06_r1.bvh | Stage: Kimodo_BVH_Export | Duration: 0.089s
[2026-06-08 18:10:49] | File: test260608_p06_r1.bvh | Stage: Blender_Process_And_Export | Duration: 1.867s
[2026-06-08 18:10:50] | File: test260608_p06_r1.fbx | Stage: Unreal_Import_And_Retarget | Duration: 1.068s
[2026-06-08 18:10:52] | File: ./kimodo-gen/test260608_p06_r2.bvh | Stage: Kimodo_Inference | Duration: 2.619s
[2026-06-08 18:10:52] | File: ./kimodo-gen/test260608_p06_r2.bvh | Stage: Kimodo_BVH_Export | Duration: 0.090s
[2026-06-08 18:10:52] | File: test260608_p06_r2.bvh | Stage: Blender_Process_And_Export | Duration: 1.977s
[2026-06-08 18:10:53] | File: test260608_p06_r2.fbx | Stage: Unreal_Import_And_Retarget | Duration: 1.097s
[2026-06-08 18:10:55] | File: ./kimodo-gen/test260608_p06_r3.bvh | Stage: Kimodo_Inference | Duration: 2.493s
[2026-06-08 18:10:55] | File: ./kimodo-gen/test260608_p06_r3.bvh | Stage: Kimodo_BVH_Export | Duration: 0.088s
[2026-06-08 18:10:55] | File: test260608_p06_r3.bvh | Stage: Blender_Process_And_Export | Duration: 1.956s
[2026-06-08 18:10:56] | File: test260608_p06_r3.fbx | Stage: Unreal_Import_And_Retarget | Duration: 1.141s
[2026-06-08 18:10:58] | File: ./kimodo-gen/test260608_p07_r1.bvh | Stage: Kimodo_Inference | Duration: 2.492s
[2026-06-08 18:10:58] | File: ./kimodo-gen/test260608_p07_r1.bvh | Stage: Kimodo_BVH_Export | Duration: 0.089s
[2026-06-08 18:10:58] | File: test260608_p07_r1.bvh | Stage: Blender_Process_And_Export | Duration: 1.882s
[2026-06-08 18:10:59] | File: test260608_p07_r1.fbx | Stage: Unreal_Import_And_Retarget | Duration: 1.085s
[2026-06-08 18:11:01] | File: ./kimodo-gen/test260608_p07_r2.bvh | Stage: Kimodo_Inference | Duration: 2.520s
[2026-06-08 18:11:01] | File: ./kimodo-gen/test260608_p07_r2.bvh | Stage: Kimodo_BVH_Export | Duration: 0.088s
[2026-06-08 18:11:01] | File: test260608_p07_r2.bvh | Stage: Blender_Process_And_Export | Duration: 1.908s
[2026-06-08 18:11:03] | File: test260608_p07_r2.fbx | Stage: Unreal_Import_And_Retarget | Duration: 1.108s
[2026-06-08 18:11:04] | File: ./kimodo-gen/test260608_p07_r3.bvh | Stage: Kimodo_Inference | Duration: 2.498s
[2026-06-08 18:11:04] | File: ./kimodo-gen/test260608_p07_r3.bvh | Stage: Kimodo_BVH_Export | Duration: 0.191s
[2026-06-08 18:11:05] | File: test260608_p07_r3.bvh | Stage: Blender_Process_And_Export | Duration: 1.956s
[2026-06-08 18:11:06] | File: test260608_p07_r3.fbx | Stage: Unreal_Import_And_Retarget | Duration: 1.106s
[2026-06-08 18:11:07] | File: ./kimodo-gen/test260608_p08_r1.bvh | Stage: Kimodo_Inference | Duration: 2.509s
[2026-06-08 18:11:07] | File: ./kimodo-gen/test260608_p08_r1.bvh | Stage: Kimodo_BVH_Export | Duration: 0.087s
[2026-06-08 18:11:08] | File: test260608_p08_r1.bvh | Stage: Blender_Process_And_Export | Duration: 1.945s
[2026-06-08 18:11:09] | File: test260608_p08_r1.fbx | Stage: Unreal_Import_And_Retarget | Duration: 1.047s
[2026-06-08 18:11:10] | File: ./kimodo-gen/test260608_p08_r2.bvh | Stage: Kimodo_Inference | Duration: 2.483s
[2026-06-08 18:11:10] | File: ./kimodo-gen/test260608_p08_r2.bvh | Stage: Kimodo_BVH_Export | Duration: 0.090s
[2026-06-08 18:11:11] | File: test260608_p08_r2.bvh | Stage: Blender_Process_And_Export | Duration: 1.985s
[2026-06-08 18:11:12] | File: test260608_p08_r2.fbx | Stage: Unreal_Import_And_Retarget | Duration: 1.073s
[2026-06-08 18:11:13] | File: ./kimodo-gen/test260608_p08_r3.bvh | Stage: Kimodo_Inference | Duration: 2.491s
[2026-06-08 18:11:13] | File: ./kimodo-gen/test260608_p08_r3.bvh | Stage: Kimodo_BVH_Export | Duration: 0.088s
[2026-06-08 18:11:14] | File: test260608_p08_r3.bvh | Stage: Blender_Process_And_Export | Duration: 1.951s
[2026-06-08 18:11:15] | File: test260608_p08_r3.fbx | Stage: Unreal_Import_And_Retarget | Duration: 1.091s
[2026-06-08 18:11:16] | File: ./kimodo-gen/test260608_p09_r1.bvh | Stage: Kimodo_Inference | Duration: 2.495s
[2026-06-08 18:11:17] | File: ./kimodo-gen/test260608_p09_r1.bvh | Stage: Kimodo_BVH_Export | Duration: 0.086s
[2026-06-08 18:11:17] | File: test260608_p09_r1.bvh | Stage: Blender_Process_And_Export | Duration: 1.953s
[2026-06-08 18:11:18] | File: test260608_p09_r1.fbx | Stage: Unreal_Import_And_Retarget | Duration: 1.125s
[2026-06-08 18:11:20] | File: ./kimodo-gen/test260608_p09_r2.bvh | Stage: Kimodo_Inference | Duration: 2.478s
[2026-06-08 18:11:20] | File: ./kimodo-gen/test260608_p09_r2.bvh | Stage: Kimodo_BVH_Export | Duration: 0.090s
[2026-06-08 18:11:20] | File: test260608_p09_r2.bvh | Stage: Blender_Process_And_Export | Duration: 1.901s
[2026-06-08 18:11:21] | File: test260608_p09_r2.fbx | Stage: Unreal_Import_And_Retarget | Duration: 1.073s
[2026-06-08 18:11:23] | File: ./kimodo-gen/test260608_p09_r3.bvh | Stage: Kimodo_Inference | Duration: 2.497s
[2026-06-08 18:11:23] | File: ./kimodo-gen/test260608_p09_r3.bvh | Stage: Kimodo_BVH_Export | Duration: 0.087s
[2026-06-08 18:11:23] | File: test260608_p09_r3.bvh | Stage: Blender_Process_And_Export | Duration: 1.905s
[2026-06-08 18:11:24] | File: test260608_p09_r3.fbx | Stage: Unreal_Import_And_Retarget | Duration: 1.116s
[2026-06-08 18:11:26] | File: ./kimodo-gen/test260608_p10_r1.bvh | Stage: Kimodo_Inference | Duration: 2.528s
[2026-06-08 18:11:26] | File: ./kimodo-gen/test260608_p10_r1.bvh | Stage: Kimodo_BVH_Export | Duration: 0.183s
[2026-06-08 18:11:26] | File: test260608_p10_r1.bvh | Stage: Blender_Process_And_Export | Duration: 1.998s
[2026-06-08 18:11:28] | File: test260608_p10_r1.fbx | Stage: Unreal_Import_And_Retarget | Duration: 1.095s
[2026-06-08 18:11:29] | File: ./kimodo-gen/test260608_p10_r2.bvh | Stage: Kimodo_Inference | Duration: 2.532s
[2026-06-08 18:11:29] | File: ./kimodo-gen/test260608_p10_r2.bvh | Stage: Kimodo_BVH_Export | Duration: 0.093s
[2026-06-08 18:11:29] | File: test260608_p10_r2.bvh | Stage: Blender_Process_And_Export | Duration: 1.704s
[2026-06-08 18:11:31] | File: test260608_p10_r2.fbx | Stage: Unreal_Import_And_Retarget | Duration: 1.088s
[2026-06-08 18:11:32] | File: ./kimodo-gen/test260608_p10_r3.bvh | Stage: Kimodo_Inference | Duration: 2.537s
[2026-06-08 18:11:32] | File: ./kimodo-gen/test260608_p10_r3.bvh | Stage: Kimodo_BVH_Export | Duration: 0.090s
[2026-06-08 18:11:33] | File: test260608_p10_r3.bvh | Stage: Blender_Process_And_Export | Duration: 1.759s
[2026-06-08 18:11:34] | File: test260608_p10_r3.fbx | Stage: Unreal_Import_And_Retarget | Duration: 1.030s
[2026-06-09 11:49:06] | File: ./kimodo-gen/test260609_A_v01_walks_r1bvh.bvh | Stage: Kimodo_Inference | Duration: 3.662s
[2026-06-09 11:49:06] | File: ./kimodo-gen/test260609_A_v01_walks_r1bvh.bvh | Stage: Kimodo_BVH_Export | Duration: 0.248s
[2026-06-09 11:49:07] | File: test260609_A_v01_walks_r1bvh.bvh | Stage: Blender_Process_And_Export | Duration: 164.187s
[2026-06-09 11:49:08] | File: test260609_A_v01_walks_r1bvh.fbx | Stage: Unreal_Import_And_Retarget | Duration: 1.303s
[2026-06-09 11:49:09] | File: ./kimodo-gen/test260609_A_v01_walks_r2bvh.bvh | Stage: Kimodo_Inference | Duration: 2.573s
[2026-06-09 11:49:10] | File: ./kimodo-gen/test260609_A_v01_walks_r2bvh.bvh | Stage: Kimodo_BVH_Export | Duration: 0.216s
[2026-06-09 11:49:10] | File: test260609_A_v01_walks_r2bvh.bvh | Stage: Blender_Process_And_Export | Duration: 1.545s
[2026-06-09 11:49:11] | File: test260609_A_v01_walks_r2bvh.fbx | Stage: Unreal_Import_And_Retarget | Duration: 1.182s
[2026-06-09 11:49:13] | File: ./kimodo-gen/test260609_A_v01_walks_r3bvh.bvh | Stage: Kimodo_Inference | Duration: 2.519s
[2026-06-09 11:49:13] | File: ./kimodo-gen/test260609_A_v01_walks_r3bvh.bvh | Stage: Kimodo_BVH_Export | Duration: 0.089s
[2026-06-09 11:49:13] | File: test260609_A_v01_walks_r3bvh.bvh | Stage: Blender_Process_And_Export | Duration: 1.784s
[2026-06-09 11:49:14] | File: test260609_A_v01_walks_r3bvh.fbx | Stage: Unreal_Import_And_Retarget | Duration: 1.063s
[2026-06-09 11:49:16] | File: ./kimodo-gen/test260609_A_v02_crawls_r1bvh.bvh | Stage: Kimodo_Inference | Duration: 3.107s
[2026-06-09 11:49:16] | File: ./kimodo-gen/test260609_A_v02_crawls_r1bvh.bvh | Stage: Kimodo_BVH_Export | Duration: 0.090s
[2026-06-09 11:49:17] | File: test260609_A_v02_crawls_r1bvh.bvh | Stage: Blender_Process_And_Export | Duration: 2.591s
[2026-06-09 11:49:18] | File: test260609_A_v02_crawls_r1bvh.fbx | Stage: Unreal_Import_And_Retarget | Duration: 1.182s
[2026-06-09 11:49:21] | File: ./kimodo-gen/test260609_A_v02_crawls_r2bvh.bvh | Stage: Kimodo_Inference | Duration: 4.373s
[2026-06-09 11:49:21] | File: ./kimodo-gen/test260609_A_v02_crawls_r2bvh.bvh | Stage: Kimodo_BVH_Export | Duration: 0.097s
[2026-06-09 11:49:22] | File: test260609_A_v02_crawls_r2bvh.bvh | Stage: Blender_Process_And_Export | Duration: 3.958s
[2026-06-09 11:49:23] | File: test260609_A_v02_crawls_r2bvh.fbx | Stage: Unreal_Import_And_Retarget | Duration: 1.221s
[2026-06-09 11:49:26] | File: ./kimodo-gen/test260609_A_v02_crawls_r3bvh.bvh | Stage: Kimodo_Inference | Duration: 4.422s
[2026-06-09 11:49:26] | File: ./kimodo-gen/test260609_A_v02_crawls_r3bvh.bvh | Stage: Kimodo_BVH_Export | Duration: 0.107s
[2026-06-09 11:49:27] | File: test260609_A_v02_crawls_r3bvh.bvh | Stage: Blender_Process_And_Export | Duration: 3.835s
[2026-06-09 11:49:28] | File: test260609_A_v02_crawls_r3bvh.fbx | Stage: Unreal_Import_And_Retarget | Duration: 1.084s
[2026-06-09 11:49:32] | File: ./kimodo-gen/test260609_A_v03_lumbers_r1bvh.bvh | Stage: Kimodo_Inference | Duration: 5.287s
[2026-06-09 11:49:32] | File: ./kimodo-gen/test260609_A_v03_lumbers_r1bvh.bvh | Stage: Kimodo_BVH_Export | Duration: 0.114s
[2026-06-09 11:49:33] | File: test260609_A_v03_lumbers_r1bvh.bvh | Stage: Blender_Process_And_Export | Duration: 4.788s
[2026-06-09 11:49:34] | File: test260609_A_v03_lumbers_r1bvh.fbx | Stage: Unreal_Import_And_Retarget | Duration: 1.103s
[2026-06-09 11:49:38] | File: ./kimodo-gen/test260609_A_v03_lumbers_r2bvh.bvh | Stage: Kimodo_Inference | Duration: 5.190s
[2026-06-09 11:49:38] | File: ./kimodo-gen/test260609_A_v03_lumbers_r2bvh.bvh | Stage: Kimodo_BVH_Export | Duration: 0.104s
[2026-06-09 11:49:39] | File: test260609_A_v03_lumbers_r2bvh.bvh | Stage: Blender_Process_And_Export | Duration: 4.742s
[2026-06-09 11:49:40] | File: test260609_A_v03_lumbers_r2bvh.fbx | Stage: Unreal_Import_And_Retarget | Duration: 1.110s
[2026-06-09 11:49:44] | File: ./kimodo-gen/test260609_A_v03_lumbers_r3bvh.bvh | Stage: Kimodo_Inference | Duration: 5.135s
[2026-06-09 11:49:44] | File: ./kimodo-gen/test260609_A_v03_lumbers_r3bvh.bvh | Stage: Kimodo_BVH_Export | Duration: 0.216s
[2026-06-09 11:49:45] | File: test260609_A_v03_lumbers_r3bvh.bvh | Stage: Blender_Process_And_Export | Duration: 4.650s
[2026-06-09 11:49:46] | File: test260609_A_v03_lumbers_r3bvh.fbx | Stage: Unreal_Import_And_Retarget | Duration: 1.130s
[2026-06-09 11:49:50] | File: ./kimodo-gen/test260609_A_v04_reaches_r1bvh.bvh | Stage: Kimodo_Inference | Duration: 5.091s
[2026-06-09 11:49:50] | File: ./kimodo-gen/test260609_A_v04_reaches_r1bvh.bvh | Stage: Kimodo_BVH_Export | Duration: 0.104s
[2026-06-09 11:49:50] | File: test260609_A_v04_reaches_r1bvh.bvh | Stage: Blender_Process_And_Export | Duration: 4.563s
[2026-06-09 11:49:52] | File: test260609_A_v04_reaches_r1bvh.fbx | Stage: Unreal_Import_And_Retarget | Duration: 1.104s
[2026-06-09 11:49:55] | File: ./kimodo-gen/test260609_A_v04_reaches_r2bvh.bvh | Stage: Kimodo_Inference | Duration: 5.215s
[2026-06-09 11:49:55] | File: ./kimodo-gen/test260609_A_v04_reaches_r2bvh.bvh | Stage: Kimodo_BVH_Export | Duration: 0.104s
[2026-06-09 11:49:56] | File: test260609_A_v04_reaches_r2bvh.bvh | Stage: Blender_Process_And_Export | Duration: 4.710s
[2026-06-09 11:49:57] | File: test260609_A_v04_reaches_r2bvh.fbx | Stage: Unreal_Import_And_Retarget | Duration: 1.159s
[2026-06-09 11:50:01] | File: ./kimodo-gen/test260609_A_v04_reaches_r3bvh.bvh | Stage: Kimodo_Inference | Duration: 5.109s
[2026-06-09 11:50:01] | File: ./kimodo-gen/test260609_A_v04_reaches_r3bvh.bvh | Stage: Kimodo_BVH_Export | Duration: 0.112s
[2026-06-09 11:50:02] | File: test260609_A_v04_reaches_r3bvh.bvh | Stage: Blender_Process_And_Export | Duration: 4.536s
[2026-06-09 11:50:03] | File: test260609_A_v04_reaches_r3bvh.fbx | Stage: Unreal_Import_And_Retarget | Duration: 1.086s
[2026-06-09 11:50:07] | File: ./kimodo-gen/test260609_A_v05_extends_r1bvh.bvh | Stage: Kimodo_Inference | Duration: 5.224s
[2026-06-09 11:50:07] | File: ./kimodo-gen/test260609_A_v05_extends_r1bvh.bvh | Stage: Kimodo_BVH_Export | Duration: 0.118s
[2026-06-09 11:50:08] | File: test260609_A_v05_extends_r1bvh.bvh | Stage: Blender_Process_And_Export | Duration: 4.787s
[2026-06-09 11:50:09] | File: test260609_A_v05_extends_r1bvh.fbx | Stage: Unreal_Import_And_Retarget | Duration: 1.084s
[2026-06-09 11:50:13] | File: ./kimodo-gen/test260609_A_v05_extends_r2bvh.bvh | Stage: Kimodo_Inference | Duration: 5.224s
[2026-06-09 11:50:13] | File: ./kimodo-gen/test260609_A_v05_extends_r2bvh.bvh | Stage: Kimodo_BVH_Export | Duration: 0.103s
[2026-06-09 11:50:14] | File: test260609_A_v05_extends_r2bvh.bvh | Stage: Blender_Process_And_Export | Duration: 4.699s
[2026-06-09 11:50:15] | File: test260609_A_v05_extends_r2bvh.fbx | Stage: Unreal_Import_And_Retarget | Duration: 1.060s
[2026-06-09 11:50:19] | File: ./kimodo-gen/test260609_A_v05_extends_r3bvh.bvh | Stage: Kimodo_Inference | Duration: 5.154s
[2026-06-09 11:50:19] | File: ./kimodo-gen/test260609_A_v05_extends_r3bvh.bvh | Stage: Kimodo_BVH_Export | Duration: 0.111s
[2026-06-09 11:50:19] | File: test260609_A_v05_extends_r3bvh.bvh | Stage: Blender_Process_And_Export | Duration: 4.719s
[2026-06-09 11:50:21] | File: test260609_A_v05_extends_r3bvh.fbx | Stage: Unreal_Import_And_Retarget | Duration: 1.180s
[2026-06-09 11:50:24] | File: ./kimodo-gen/test260609_A_v06_stretches_r1bvh.bvh | Stage: Kimodo_Inference | Duration: 5.062s
[2026-06-09 11:50:24] | File: ./kimodo-gen/test260609_A_v06_stretches_r1bvh.bvh | Stage: Kimodo_BVH_Export | Duration: 0.109s
[2026-06-09 11:50:25] | File: test260609_A_v06_stretches_r1bvh.bvh | Stage: Blender_Process_And_Export | Duration: 4.500s
[2026-06-09 11:50:26] | File: test260609_A_v06_stretches_r1bvh.fbx | Stage: Unreal_Import_And_Retarget | Duration: 1.113s
[2026-06-09 11:50:30] | File: ./kimodo-gen/test260609_A_v06_stretches_r2bvh.bvh | Stage: Kimodo_Inference | Duration: 5.078s
[2026-06-09 11:50:30] | File: ./kimodo-gen/test260609_A_v06_stretches_r2bvh.bvh | Stage: Kimodo_BVH_Export | Duration: 0.232s
[2026-06-09 11:50:31] | File: test260609_A_v06_stretches_r2bvh.bvh | Stage: Blender_Process_And_Export | Duration: 4.691s
[2026-06-09 11:50:32] | File: test260609_A_v06_stretches_r2bvh.fbx | Stage: Unreal_Import_And_Retarget | Duration: 1.082s
[2026-06-09 11:50:36] | File: ./kimodo-gen/test260609_A_v06_stretches_r3bvh.bvh | Stage: Kimodo_Inference | Duration: 5.217s
[2026-06-09 11:50:36] | File: ./kimodo-gen/test260609_A_v06_stretches_r3bvh.bvh | Stage: Kimodo_BVH_Export | Duration: 0.105s
[2026-06-09 11:50:37] | File: test260609_A_v06_stretches_r3bvh.bvh | Stage: Blender_Process_And_Export | Duration: 4.751s
[2026-06-09 11:50:38] | File: test260609_A_v06_stretches_r3bvh.fbx | Stage: Unreal_Import_And_Retarget | Duration: 1.110s
[2026-06-09 11:50:42] | File: ./kimodo-gen/test260609_A_v07_collapses_r1bvh.bvh | Stage: Kimodo_Inference | Duration: 5.073s
[2026-06-09 11:50:42] | File: ./kimodo-gen/test260609_A_v07_collapses_r1bvh.bvh | Stage: Kimodo_BVH_Export | Duration: 0.111s
[2026-06-09 11:50:42] | File: test260609_A_v07_collapses_r1bvh.bvh | Stage: Blender_Process_And_Export | Duration: 4.553s
[2026-06-09 11:50:44] | File: test260609_A_v07_collapses_r1bvh.fbx | Stage: Unreal_Import_And_Retarget | Duration: 1.114s
[2026-06-09 11:50:47] | File: ./kimodo-gen/test260609_A_v07_collapses_r2bvh.bvh | Stage: Kimodo_Inference | Duration: 5.110s
[2026-06-09 11:50:47] | File: ./kimodo-gen/test260609_A_v07_collapses_r2bvh.bvh | Stage: Kimodo_BVH_Export | Duration: 0.112s
[2026-06-09 11:50:48] | File: test260609_A_v07_collapses_r2bvh.bvh | Stage: Blender_Process_And_Export | Duration: 4.607s
[2026-06-09 11:50:49] | File: test260609_A_v07_collapses_r2bvh.fbx | Stage: Unreal_Import_And_Retarget | Duration: 1.126s
[2026-06-09 11:50:53] | File: ./kimodo-gen/test260609_A_v07_collapses_r3bvh.bvh | Stage: Kimodo_Inference | Duration: 5.046s
[2026-06-09 11:50:53] | File: ./kimodo-gen/test260609_A_v07_collapses_r3bvh.bvh | Stage: Kimodo_BVH_Export | Duration: 0.105s
[2026-06-09 11:50:54] | File: test260609_A_v07_collapses_r3bvh.bvh | Stage: Blender_Process_And_Export | Duration: 4.521s
[2026-06-09 11:50:55] | File: test260609_A_v07_collapses_r3bvh.fbx | Stage: Unreal_Import_And_Retarget | Duration: 1.122s
[2026-06-09 11:50:59] | File: ./kimodo-gen/test260609_A_v08_sinks_r1bvh.bvh | Stage: Kimodo_Inference | Duration: 4.982s
[2026-06-09 11:50:59] | File: ./kimodo-gen/test260609_A_v08_sinks_r1bvh.bvh | Stage: Kimodo_BVH_Export | Duration: 0.108s
[2026-06-09 11:50:59] | File: test260609_A_v08_sinks_r1bvh.bvh | Stage: Blender_Process_And_Export | Duration: 4.495s
[2026-06-09 11:51:01] | File: test260609_A_v08_sinks_r1bvh.fbx | Stage: Unreal_Import_And_Retarget | Duration: 1.083s
[2026-06-09 11:51:04] | File: ./kimodo-gen/test260609_A_v08_sinks_r2bvh.bvh | Stage: Kimodo_Inference | Duration: 5.187s
[2026-06-09 11:51:04] | File: ./kimodo-gen/test260609_A_v08_sinks_r2bvh.bvh | Stage: Kimodo_BVH_Export | Duration: 0.106s
